Datas,Cidades,Estados,Geocode
2020-04-08,areia branca,RN,2401107.0
2020-04-08,barcarena,PA,1501303.0
2020-04-08,belém,PA,1501402.0
2020-04-08,cametá,PA,1502103.0
2020-04-08,careiro da várzea,AM,1301159.0
2020-04-08,icatu,MA,2105104.0
2020-04-08,imperatriz,MA,2105302.0
2020-04-08,iranduba,AM,1301852.0
2020-04-08,itacoatiara,AM,1301902.0
2020-04-08,itaituba,PA,1503606.0
2020-04-08,itapiranga,SC,4208401.0
2020-04-08,jutaí,AM,1302306.0
2020-04-08,laguna,SC,4209409.0
2020-04-08,macapá,AP,1600303.0
2020-04-08,manacapuru,AM,1302504.0
2020-04-08,manaus,AM,1302603.0
2020-04-08,mangaratiba,RJ,3302601.0
2020-04-08,manicoré,AM,1302702.0
2020-04-08,marabá,PA,1504208.0
2020-04-08,novo airão,AM,1303205.0
2020-04-08,oeiras do pará,PA,1505205.0
2020-04-08,paranaguá,PR,4118204.0
2020-04-08,parintins,AM,1303403.0
2020-04-08,porto real do colégio,AL,2707503.0
2020-04-08,porto velho,RO,1100205.0
2020-04-08,propriá,SE,2805703.0
2020-04-08,rio grande,RS,4315602.0
2020-04-08,salvador,BA,2927408.0
2020-04-08,santana,AP,1600600.0
2020-04-08,santarém,PA,1506807.0
2020-04-08,santo antônio do içá,AM,1303700.0
2020-04-08,são gabriel da cachoeira,AM,1303809.0
2020-04-08,são josé de ribamar,MA,2111201.0
2020-04-08,são luís,MA,2111300.0
2020-04-08,são paulo de olivença,AM,1303908.0
2020-04-08,tabatinga,AM,1304062.0
2020-04-08,tonantins,AM,1304237.0
2020-04-08,tucuruí,PA,1508100.0
2020-04-09,abaetetuba,PA,1500107.0
2020-04-09,altamira,PA,1500602.0
2020-04-09,angra dos reis,RJ,3300100.0
2020-04-09,anori,AM,1300102.0
2020-04-09,areia branca,RN,2401107.0
2020-04-09,barcarena,PA,1501303.0
2020-04-09,belém,PA,1501402.0
2020-04-09,cametá,PA,1502103.0
2020-04-09,careiro da várzea,AM,1301159.0
2020-04-09,icatu,MA,2105104.0
2020-04-09,imperatriz,MA,2105302.0
2020-04-09,iranduba,AM,1301852.0
2020-04-09,itacoatiara,AM,1301902.0
2020-04-09,itaituba,PA,1503606.0
2020-04-09,itapiranga,SC,4208401.0
2020-04-09,jutaí,AM,1302306.0
2020-04-09,laguna,SC,4209409.0
2020-04-09,macapá,AP,1600303.0
2020-04-09,manacapuru,AM,1302504.0
2020-04-09,manaus,AM,1302603.0
2020-04-09,mangaratiba,RJ,3302601.0
2020-04-09,manicoré,AM,1302702.0
2020-04-09,marabá,PA,1504208.0
2020-04-09,novo airão,AM,1303205.0
2020-04-09,oeiras do pará,PA,1505205.0
2020-04-09,paranaguá,PR,4118204.0
2020-04-09,parintins,AM,1303403.0
2020-04-09,porto real do colégio,AL,2707503.0
2020-04-09,porto velho,RO,1100205.0
2020-04-09,propriá,SE,2805703.0
2020-04-09,rio grande,RS,4315602.0
2020-04-09,salvador,BA,2927408.0
2020-04-09,santana,AP,1600600.0
2020-04-09,santarém,PA,1506807.0
2020-04-09,santo antônio do içá,AM,1303700.0
2020-04-09,são gabriel da cachoeira,AM,1303809.0
2020-04-09,são josé de ribamar,MA,2111201.0
2020-04-09,são luís,MA,2111300.0
2020-04-09,são paulo de olivença,AM,1303908.0
2020-04-09,tabatinga,AM,1304062.0
2020-04-09,tonantins,AM,1304237.0
2020-04-09,tucuruí,PA,1508100.0
2020-04-10,abaetetuba,PA,1500107.0
2020-04-10,altamira,PA,1500602.0
2020-04-10,angra dos reis,RJ,3300100.0
2020-04-10,anori,AM,1300102.0
2020-04-10,areia branca,RN,2401107.0
2020-04-10,barcarena,PA,1501303.0
2020-04-10,belém,PA,1501402.0
2020-04-10,cametá,PA,1502103.0
2020-04-10,careiro da várzea,AM,1301159.0
2020-04-10,icatu,MA,2105104.0
2020-04-10,imperatriz,MA,2105302.0
2020-04-10,iranduba,AM,1301852.0
2020-04-10,itacoatiara,AM,1301902.0
2020-04-10,itaituba,PA,1503606.0
2020-04-10,itapiranga,SC,4208401.0
2020-04-10,jutaí,AM,1302306.0
2020-04-10,laguna,SC,4209409.0
2020-04-10,macapá,AP,1600303.0
2020-04-10,manacapuru,AM,1302504.0
2020-04-10,manaus,AM,1302603.0
2020-04-10,mangaratiba,RJ,3302601.0
2020-04-10,manicoré,AM,1302702.0
2020-04-10,marabá,PA,1504208.0
2020-04-10,maués,AM,1302900.0
2020-04-10,novo airão,AM,1303205.0
2020-04-10,oeiras do pará,PA,1505205.0
2020-04-10,paranaguá,PR,4118204.0
2020-04-10,parintins,AM,1303403.0
2020-04-10,porto real do colégio,AL,2707503.0
2020-04-10,porto velho,RO,1100205.0
2020-04-10,propriá,SE,2805703.0
2020-04-10,rio grande,RS,4315602.0
2020-04-10,salvador,BA,2927408.0
2020-04-10,santana,AP,1600600.0
2020-04-10,santarém,PA,1506807.0
2020-04-10,santo antônio do içá,AM,1303700.0
2020-04-10,são gabriel da cachoeira,AM,1303809.0
2020-04-10,são josé de ribamar,MA,2111201.0
2020-04-10,são luís,MA,2111300.0
2020-04-10,são paulo de olivença,AM,1303908.0
2020-04-10,tabatinga,AM,1304062.0
2020-04-10,tefé,AM,1304203.0
2020-04-10,tonantins,AM,1304237.0
2020-04-10,tucuruí,PA,1508100.0
2020-04-11,abaetetuba,PA,1500107.0
2020-04-11,acará,PA,1500206.0
2020-04-11,altamira,PA,1500602.0
2020-04-11,angra dos reis,RJ,3300100.0
2020-04-11,anori,AM,1300102.0
2020-04-11,areia branca,RN,2401107.0
2020-04-11,barcarena,PA,1501303.0
2020-04-11,belém,PA,1501402.0
2020-04-11,cametá,PA,1502103.0
2020-04-11,careiro da várzea,AM,1301159.0
2020-04-11,icatu,MA,2105104.0
2020-04-11,imperatriz,MA,2105302.0
2020-04-11,iranduba,AM,1301852.0
2020-04-11,itacoatiara,AM,1301902.0
2020-04-11,itaituba,PA,1503606.0
2020-04-11,itapiranga,SC,4208401.0
2020-04-11,jutaí,AM,1302306.0
2020-04-11,laguna,SC,4209409.0
2020-04-11,macapá,AP,1600303.0
2020-04-11,manacapuru,AM,1302504.0
2020-04-11,manaus,AM,1302603.0
2020-04-11,mangaratiba,RJ,3302601.0
2020-04-11,manicoré,AM,1302702.0
2020-04-11,marabá,PA,1504208.0
2020-04-11,maués,AM,1302900.0
2020-04-11,novo airão,AM,1303205.0
2020-04-11,oeiras do pará,PA,1505205.0
2020-04-11,paranaguá,PR,4118204.0
2020-04-11,parintins,AM,1303403.0
2020-04-11,porto real do colégio,AL,2707503.0
2020-04-11,porto velho,RO,1100205.0
2020-04-11,propriá,SE,2805703.0
2020-04-11,rio grande,RS,4315602.0
2020-04-11,salvador,BA,2927408.0
2020-04-11,santana,AP,1600600.0
2020-04-11,santarém,PA,1506807.0
2020-04-11,santo antônio do içá,AM,1303700.0
2020-04-11,são gabriel da cachoeira,AM,1303809.0
2020-04-11,são josé de ribamar,MA,2111201.0
2020-04-11,são luís,MA,2111300.0
2020-04-11,são paulo de olivença,AM,1303908.0
2020-04-11,tabatinga,AM,1304062.0
2020-04-11,tefé,AM,1304203.0
2020-04-11,tonantins,AM,1304237.0
2020-04-11,tucuruí,PA,1508100.0
2020-04-11,vera cruz,BA,2933208.0
2020-04-12,abaetetuba,PA,1500107.0
2020-04-12,acará,PA,1500206.0
2020-04-12,altamira,PA,1500602.0
2020-04-12,angra dos reis,RJ,3300100.0
2020-04-12,anori,AM,1300102.0
2020-04-12,areia branca,RN,2401107.0
2020-04-12,barcarena,PA,1501303.0
2020-04-12,belém,PA,1501402.0
2020-04-12,cametá,PA,1502103.0
2020-04-12,careiro da várzea,AM,1301159.0
2020-04-12,icatu,MA,2105104.0
2020-04-12,imperatriz,MA,2105302.0
2020-04-12,iranduba,AM,1301852.0
2020-04-12,itacoatiara,AM,1301902.0
2020-04-12,itaituba,PA,1503606.0
2020-04-12,itapiranga,SC,4208401.0
2020-04-12,jutaí,AM,1302306.0
2020-04-12,laguna,SC,4209409.0
2020-04-12,macapá,AP,1600303.0
2020-04-12,manacapuru,AM,1302504.0
2020-04-12,manaus,AM,1302603.0
2020-04-12,mangaratiba,RJ,3302601.0
2020-04-12,manicoré,AM,1302702.0
2020-04-12,marabá,PA,1504208.0
2020-04-12,maués,AM,1302900.0
2020-04-12,novo airão,AM,1303205.0
2020-04-12,oeiras do pará,PA,1505205.0
2020-04-12,paranaguá,PR,4118204.0
2020-04-12,parintins,AM,1303403.0
2020-04-12,porto real do colégio,AL,2707503.0
2020-04-12,porto velho,RO,1100205.0
2020-04-12,propriá,SE,2805703.0
2020-04-12,rio grande,RS,4315602.0
2020-04-12,salvador,BA,2927408.0
2020-04-12,santana,AP,1600600.0
2020-04-12,santarém,PA,1506807.0
2020-04-12,santo antônio do içá,AM,1303700.0
2020-04-12,são gabriel da cachoeira,AM,1303809.0
2020-04-12,são josé de ribamar,MA,2111201.0
2020-04-12,são luís,MA,2111300.0
2020-04-12,são paulo de olivença,AM,1303908.0
2020-04-12,tabatinga,AM,1304062.0
2020-04-12,tefé,AM,1304203.0
2020-04-12,tonantins,AM,1304237.0
2020-04-12,tucuruí,PA,1508100.0
2020-04-12,vera cruz,BA,2933208.0
2020-04-13,abaetetuba,PA,1500107.0
2020-04-13,acará,PA,1500206.0
2020-04-13,altamira,PA,1500602.0
2020-04-13,angra dos reis,RJ,3300100.0
2020-04-13,anori,AM,1300102.0
2020-04-13,areia branca,RN,2401107.0
2020-04-13,barcarena,PA,1501303.0
2020-04-13,belém,PA,1501402.0
2020-04-13,cametá,PA,1502103.0
2020-04-13,careiro da várzea,AM,1301159.0
2020-04-13,cruzeiro do sul,AC,1200203.0
2020-04-13,icatu,MA,2105104.0
2020-04-13,imperatriz,MA,2105302.0
2020-04-13,iranduba,AM,1301852.0
2020-04-13,itacoatiara,AM,1301902.0
2020-04-13,itaituba,PA,1503606.0
2020-04-13,itapiranga,SC,4208401.0
2020-04-13,jutaí,AM,1302306.0
2020-04-13,laguna,SC,4209409.0
2020-04-13,macapá,AP,1600303.0
2020-04-13,manacapuru,AM,1302504.0
2020-04-13,manaus,AM,1302603.0
2020-04-13,mangaratiba,RJ,3302601.0
2020-04-13,manicoré,AM,1302702.0
2020-04-13,marabá,PA,1504208.0
2020-04-13,maués,AM,1302900.0
2020-04-13,novo airão,AM,1303205.0
