,Datas,Cidades,Estados,Geocode
212,2020-03-26,arujá,SP,3503901.0
213,2020-03-26,boa esperança,MG,3107109.0
214,2020-03-26,boca do acre,AM,1300706.0
215,2020-03-26,castanhal,PA,1502400.0
216,2020-03-26,castelo,ES,3201407.0
217,2020-03-26,governador valadares,MG,3127701.0
218,2020-03-26,itaituba,PA,1503606.0
219,2020-03-26,itapema,SC,4208302.0
220,2020-03-26,louveira,SP,3527306.0
221,2020-03-26,mairiporã,SP,3528502.0
222,2020-03-26,marau,RS,4311809.0
223,2020-03-26,nova palma,RS,4313102.0
224,2020-03-26,passo fundo,RS,4314100.0
225,2020-03-26,piratini,RS,4314605.0
226,2020-03-26,ribeirão preto,SP,3543402.0
227,2020-03-26,rolante,RS,4316006.0
228,2020-03-26,siderópolis,SC,4217600.0
229,2020-03-26,são joão del rei,MG,3162500.0
230,2020-03-26,tatuí,SP,3554003.0
231,2020-03-26,timbé do sul,SC,4218103.0
232,2020-03-27,araguaína,TO,1702109.0
233,2020-03-27,batayporã,MS,5002001.0
234,2020-03-27,cachoeira do sul,RS,4303004.0
235,2020-03-27,camaragibe,PE,2603454.0
236,2020-03-27,campina grande,PB,2504009.0
237,2020-03-27,campo belo,MG,3111200.0
238,2020-03-27,carmo do cajuru,MG,3114204.0
239,2020-03-27,diadema,SP,3513801.0
240,2020-03-27,goiana,PE,2606200.0
241,2020-03-27,guarapuava,PR,4109401.0
242,2020-03-27,guimarânia,MG,3128907.0
243,2020-03-27,hidrolândia,GO,5209705.0
244,2020-03-27,ipiaú,BA,2913903.0
245,2020-03-27,iretama,PR,4110805.0
246,2020-03-27,itaboraí,RJ,3301900.0
247,2020-03-27,manacapuru,AM,1302504.0
248,2020-03-27,maranguape,CE,2307700.0
249,2020-03-27,rio negro,PR,4122305.0
250,2020-03-27,rio verde de mato grosso,MS,5007406.0
251,2020-03-27,sabará,MG,3156700.0
252,2020-03-27,santa rosa,RS,4317202.0
253,2020-03-27,sorocaba,SP,3552205.0
254,2020-03-27,sousa,PB,2516201.0
255,2020-03-27,são josé do divino,PI,2210052.0
